species,size,family,fg,habitat,true_spp,trophic_level
?Lethrinus_microdon,80,Lethrinidae,Pisci-invertivore,Reef,Lethrinus_microdon,-999
(Oxy)Cheilinus_diagramus,40,Labridae,Pisci-invertivore,Reef,Oxycheilinus_digramma,-999
(Oxy)Cheilinus_unifasciatus,46,Labridae,Pisci-invertivore,Reef,Oxycheilinus_unifasciatus,-999
Abudefduf_abdominalis,30,Pomacentridae,Planktivore,Reef,Abudefduf_abdominalis,3
Abudefduf_leucogaster,13,Pomacentridae,Planktivore,Reef,Amblyglyphidodon_leucogaster,-999
Abudefduf_saxatilis,22.9,Pomacentridae,Planktivore,Reef,Abudefduf_saxatilis,3.4
Abudefduf_septemfasciatus,23,Pomacentridae,Planktivore,Reef,Abudefduf_septemfasciatus,-999
Abudefduf_sexfasciatus,19,Pomacentridae,Planktivore,Reef,Abudefduf_sexfasciatus,2.4
Abudefduf_sordidus,24,Pomacentridae,Planktivore,Reef,Abudefduf_sordidus,2.8
Abudefduf_vaigiensis,20,Pomacentridae,Planktivore,Reef,Abudefduf_vaigiensis,2.6
Abudefduf_whitleyi,14,Pomacentridae,Planktivore,Reef,Abudefduf_whitleyi,-999
Acanthemblemaria_aspera,4,Chaenopsidae,Detritivore,Reef,Acanthemblemaria_aspera,-999
Acanthemblemaria_maria,5.1,Chaenopsidae,Detritivore,Reef,Acanthemblemaria_maria,-999
Acanthistius_fuscus,40,Serranidae,Piscivore,Reef,Acanthistius_fuscus,-999
Acanthochromis_polyacanthus,14,Pomacentridae,Planktivore,Reef,Acanthochromis_polyacanthus,-999
Acanthocybium_solandri,250,Scombridae,Piscivore,Pelagic,Acanthocybium_solandri,4.4
Acanthostracion_polygonius,50,Ostraciidae,Micro-invertivore,Reef,Acanthostracion_polygonius,2
Acanthostracion_quadricornis,55,Ostraciidae,Micro-invertivore,Reef,Acanthostracion_quadricornis,3
Acanthuris_leucopareius/nigroris/nigrofuscus,25,Acanthuridae,Grazer,Reef,Acanthurus_nigroris,-999
Acanthurus_achilles,24,Acanthuridae,Grazer,Reef,Acanthurus_achilles,-999
Acanthurus_achillesXnigricans,24,Acanthuridae,Grazer,Reef,Acanthurus_achilles,-999
Acanthurus_albipectoralis,33,Acanthuridae,Planktivore,Reef,Acanthurus_albipectoralis,-999
Acanthurus_auranticavus,45,Acanthuridae,Grazer,Reef,Acanthurus_auranticavus,-999
Acanthurus_bahianus,38.1,Acanthuridae,Grazer,Reef,Acanthurus_bahianus,2
Acanthurus_bariene,50,Acanthuridae,Grazer,Reef,Acanthurus_bariene,-999
Acanthurus_blochi,45,Acanthuridae,Grazer,Reef,Acanthurus_blochii,-999
Acanthurus_blochii,45,Acanthuridae,Grazer,Reef,Acanthurus_blochii,-999
Acanthurus_chirugus,39,Acanthuridae,Grazer,Reef,Acanthurus_chirugus,-999
Acanthurus_coeruleus,39,Acanthuridae,Grazer,Out,Acanthurus_coeruleus,2
Acanthurus_dussumieri,54,Acanthuridae,Grazer,Reef,Acanthurus_dussumieri,2
Acanthurus_fowleri,45,Acanthuridae,Grazer,Reef,Acanthurus_fowleri,-999
Acanthurus_grammoptilus,35,Acanthuridae,Grazer,Reef,Acanthurus_grammoptilus,-999
Acanthurus_guttatus,26,Acanthuridae,Grazer,Reef,Acanthurus_guttatus,-999
Acanthurus_leucocheilus,45,Acanthuridae,Grazer,Reef,Acanthurus_leucocheilus,-999
Acanthurus_leucopareius,25,Acanthuridae,Grazer,Reef,Acanthurus_leucopareius,-999
Acanthurus_leucosternon,54,Acanthuridae,Grazer,Reef,Acanthurus_leucosternon,-999
Acanthurus_lineatus,38,Acanthuridae,Grazer,Reef,Acanthurus_lineatus,2
Acanthurus_maculiceps,40,Acanthuridae,Grazer,Reef,Acanthurus_maculiceps,-999
Acanthurus_mata,50,Acanthuridae,Planktivore,Reef,Acanthurus_mata,-999
Acanthurus_nigricans,21.3,Acanthuridae,Grazer,Reef,Acanthurus_nigricans,-999
Acanthurus_nigricauda,40,Acanthuridae,Grazer,Reef,Acanthurus_nigricauda,-999
Acanthurus_nigrofuscus,21,Acanthuridae,Grazer,Reef,Acanthurus_nigrofuscus,2
Acanthurus_nigroris,25,Acanthuridae,Grazer,Reef,Acanthurus_nigroris,-999
Acanthurus_nubilus,26,Acanthuridae,Planktivore,Reef,Acanthurus_nubilus,-999
Acanthurus_olivaceous,35,Acanthuridae,Detritivore,Reef,Acanthurus_olivaceus,2.2
Acanthurus_olivaceus,35,Acanthuridae,Detritivore,Reef,Acanthurus_olivaceus,2.2
Acanthurus_pyroferus,29,Acanthuridae,Grazer,Reef,Acanthurus_pyroferus,-999
Acanthurus_sp,36,Acanthuridae,Grazer,Reef,Acanthurus_sp,-999
Acanthurus_species,36,Acanthuridae,Grazer,Reef,Acanthurus_sp,-999
Acanthurus_tennentii,31,Acanthuridae,Detritivore,Reef,Acanthurus_tennentii,-999
Acanthurus_thompsoni,27,Acanthuridae,Planktivore,Reef,Acanthurus_thompsoni,3.4
Acanthurus_triostegus,27,Acanthuridae,Grazer,Reef,Acanthurus_triostegus,-999
Acanthurus_tristis,25,Acanthuridae,Grazer,Reef,Acanthurus_tristis,-999
Acanthurus_xanthopterus,70,Acanthuridae,Grazer,Reef,Acanthurus_xanthopterus,-999
Aethaloperca_rogaa,60,Serranidae,Piscivore,Reef,Aethaloperca_rogaa,-999
Aetobatis_narinari,330,Myliobatidae,NA,Pelagic,Aetobatus_narinari,3.2
Aetobatus_narinari,330,Myliobatidae,NA,Pelagic,Aetobatus_narinari,3.2
Albula_glossodonta,90,Albulidae,NA,Sand,Albula_glossodonta,-999
Alectis_ciliaris,150,Carangidae,Piscivore,Pelagic,Alectis_ciliaris,3.8
Aluterus_scriptus,110,Monacanthidae,Micro-invertivore,Reef,Aluterus_scriptus,2.8
Amanses_scopas,20,Monacanthidae,Micro-invertivore,Reef,Amanses_scopas,-999
