Country,Year,Location,Acanthuridae,Aulostomidae,Balistidae,Carangidae,Carcarhinidae,Chaetodontidae,Diodontidae,Fistularidae,Ginglymostomatidae,Haemulidae,Holocentridae,Labridae,Lethrinidae,Lutjanidae,Mullidae,Muraenidae,Others,Pempheridae,Penguipedidae,Pomacanthidae,Pomacentridae,Scaridae,Scombridae,Scorpaenidae,Serranidae,Siganidae,Sphyraenidae,Total biomass,Area,Closure age,LAT,LONG,Exposure,depth,Management,Year of closure,Coral.cover,Algae,Soft.coral,Depth,Park,Park_ID,Atoll,Sampling method,Sampling area,Habitat
Comoros,2011,Mayindrini,209.3,0,12.29,0,0,37.09,0,7.73,0,0,43.23,51.89,0,1.33,4.4,0,13.14,0,0.68,12.57,94.76,14.15,0,0,8.04,0,0,510.6,3.3,1,-12.1597,44.2034,Exposed,9,Low compliance and young closure,2010,12.4,12.4,0,9,Mayindrini,14,0,Belt transect,500,Slope
Kenya,2013,Bamburi Wreck,352.1563268,1.942865378,31.32052406,1.010899332,0,14.83447103,0,0,0,8.304187329,106.369688,120.6627245,3.030347796,9.134554925,3.149990569,0,1.660404447,0,0,10.32208954,21.54254241,36.3230108,0,0,17.36222274,0,0,739.1268498,6,22,-3.99,39.75,Exposed,7.5,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
Kenya,2012,Bureni,4.578883074,0,0,0,0,5.562926635,0,0,0,0,0,18.19909293,1.35277922,17.79972501,0,0,1.284363865,0,0,0,0,1.151727676,0,0.748609932,0,0,0,50.67810835,0.52,2,-3.83410639,39.82635962,Sheltered,1,Low compliance and young closure,2010,,,,,Bureni,16,0,Belt transect,500,Lagoon/Back reef
Kenya,2014,Bureni,76.59299518,0,0,0,0,4.635772196,0,0,0,0,0,41.59261567,0,0,2.197951516,0,2.34164691,0,0,0,9.673053282,2.263683015,0,0,0,0.934589017,0,140.2323068,0.52,4,-3.9,39.81,Sheltered,1.5,Low compliance and young closure,2010,25.3,6.1,2.9,1.5,Bureni,16,0,Belt transect,500,Lagoon/Back reef
Kenya,2012,Changai,31.79425901,7.771461513,0,0,0,22.72250929,0,0,0,15.76298663,0,34.26285189,0,2.840257102,0.549487879,0,45.30745577,0,0.338742012,3.945566239,68.37010752,13.8155288,0,0,0.803694452,6.542123119,0,254.8270312,0.11,0,-4.64481,39.36544,Sheltered,1,Low compliance and young closure,2012,43.9,0.7,10.7,1,Changai,17,0,Belt transect,500,Lagoon/Back reef
Kenya,2014,Changai,6.633390128,0,1.767604006,0,0,13.62235019,0,0,0,3.114459035,0.918527525,10.70948334,0.67638961,4.067824344,0.549487879,0,7.277350028,0,0.338742012,1.442864504,36.45725201,4.581525121,0,0,0.803694452,0,0,92.96094418,0.11,2,-4.64,39.37,Sheltered,,Low compliance and young closure,,,,,,Changai,17,0,Belt transect,500,Lagoon/Back reef
Kenya,2008,Coral garden(Kiunga),259.58,0,0,0,0,2.01,5.415,0,0,19.725,9.255,45.82,0,124.975,34.16,0,4.515,17.73,0,2.83,67.32,64.045,0,0,0,17.925,0,675.305,2,7,-2.0439,41.2412,Sheltered,2,Low compliance and young closure,2001,28.4,8.5,0.7,2,Mkokoni,18,0,Belt transect,500,Lagoon/Back reef
Kenya,2009,Kasa,886.9587037,48.87574081,18.3222258,0,0,16.84571415,0,0,0,6.22891807,3.6741101,46.37656663,0,5.680514203,18.89994341,6.631702849,114.6683831,0,0,39.06306978,39.82492434,166.0485611,0,0,64.35557229,0,0,1482.45465,6,18,-4.12,39.76,Exposed,8,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
Kenya,2012,Kibuyuni,21.72071624,0.132280653,0,0,0,31.7586523,11.92047422,0,0,3.114459035,4.592637625,40.71145111,0.67638961,0,0,0,10.86832252,4.749227438,0,5.023252387,77.49742579,10.22084649,0,0,0,0,1.417200095,224.4033355,0.28,2,-4.6412,39.3429,Sheltered,1.5,Low compliance and young closure,2010,,,,,Kibuyuni,19,0,Belt transect,500,Lagoon/Back reef
Kenya,2011,Kibuyuni B,14.32018538,0,0,0,0,12.98016215,0,0,0,16.76935773,0,31.19443828,3.030347796,12.66079504,0,0,36.56150868,0,0,0,83.67743206,10.7636412,0,0,10.81285654,0,0,232.7707249,0.28,1,-4.6412,39.3429,Sheltered,1.5,Low compliance and young closure,2010,46.5,0,15,1.5,Kibuyuni,19,0,Belt transect,500,Lagoon/Back reef
Kenya,2010,Kibuyuni East,3.54,0,0,0,0,24.95,0,0,0,43.025,16.69,6.94,0,0,0.045,0,6.54,0,0,0.045,45.37,11.59,0,0,0,3.23,0,161.965,0.28,0,-4.641,39.343,Sheltered,1.5,Low compliance and young closure,2010,30.4,25.4,18.5,1.5,Kibuyuni,19,0,Belt transect,500,Lagoon/Back reef
