Fish family,Common family name,PNAS,potential in/out,Brightspots,States,Chapter 1,Chapter 1_nosharks
Acanthuridae,Surgeonfishes,y,,y,y,1,1
Balistidae,Triggerfishes,y,,y,y,1,1
Caesionidae,Fusiliers,n,,n,n,1,1
Carangidae,Jacks,y,,n,y,1,1
Carcharhinidae,Sharks,y,shark,n,n,1,0
Chaetodontidae,Butterflyfish,n,coral associated,n,y,1,1
Cirrhitidae,Hawkfish,n,coral associated,n,y,1,1
Diodontidae,Porcupinefishes,y,,y,y,1,1
Ephippidae,Batfishes,y,,y,y,1,1
Ginglymostomatidae,Sharks,y,shark,n,n,1,0
Haemulidae,Sweetlips,y,,y,y,1,1
Heterodontidae,Sharks,y,shark,n,n,1,0
Holocentridae,Squirrelfish,n,,n,n,0,0
Kyphosidae,Drummers,y,,y,y,1,1
Labridae,Wrasses,y,,y,y,1,1
Lethrinidae,Emperors,y,,y,y,1,1
Lutjanidae,Snappers,y,,y,y,1,1
Monacanthidae,Filefishes,y,,y,y,1,1
Mullidae,Goatfishes,y,,y,y,1,1
Nemipteridae,Coral Breams,y,,y,y,1,1
Pempheridae,Sweepers,n,,n,n,0,0
Pinguipedidae,Sandperches,y,,y,y,1,1
Pomacanthidae,Angelfishes,y,,y,y,1,1
Priacanthidae,Bigeyes,n,,n,n,0,0
Pseudochromidae,Dottybacks,n,,n,n,0,0
Scaridae,Wrasses and Parrotfish,n,,n,y,1,1
Scombridae,"Mackerels, tunas, bonitos",n,,n,n,0,0
Serranidae,Groupers,y,,y,y,1,1
Siganidae,Rabbitfishes,y,,y,y,1,1
Sparidae,Porgies,y,,y,y,1,1
Sphyraenidae,Barracudas,y,,n,y,1,1
Sphyrnidae,Sharks,y,shark,n,n,1,0
Synodontidae,Lizardfishes,y,,y,y,1,1
Tetraodontidae,Pufferfishes,y,,y,y,1,1
Zanclidae,Moorish Idol,y,,y,y,1,1
