"area_name","Larger","EEZ_lat","EEZ_long","Region","Rfishers_km2r","HDI","meanTgrav_nh2","Tourists_km2l","meanTTpop_h","meanTTmarket_h","mpa_perc","popgrow_prop","pop_n","median_totalcatch_t","mean_totalcatch_t","mean_tcatch_notindus_t","mean_tcatch_onlyreported_t","mean_tcatch_notindus_onlyrep_t","VoiceAccountability","CoralReefArea_km2","tonnes_2008","tonnes_2009","tonnes_2010","tonnes_2011","tonnes_2012","tonnes_2013","tonnes_2014","mean_tonnes","mean_tonnes_reported","n_fishing_entities","fishing_entities","Country","spatial_tonnes_km2","spatial_tonnes_reported_km2","spatial_tonnes2008_km2","spatial_tonnes2009_km2","spatial_tonnes2010_km2","spatial_tonnes2011_km2","spatial_tonnes2012_km2","spatial_tonnes2013_km2","spatial_tonnes2014_km2"
"American Samoa","American Samoa",-13.85166919,-169.057621,"P",1.31,0.91,13.93,115.5,1.211166667,6.666666667,8.71,-0.03,55637,61.16834757,61.98933405,61.98933405,24.11815735,24.11815735,0.9882845,45.426853,66.1542398255467,72.1737149082959,56.9786636199928,62.3160062330317,59.301280427085,53.8923379284671,71.1003052216088,63.130935452004,24.1900852973495,122,"American Samoa, NA","American Samoa ",1.38972724903493,0.532506297483329,1.45628049175114,1.58878967266995,1.25429475865284,1.37178787694212,1.30542347776292,1.18635420174202,1.5651602637235
"Anguilla (UK)","",18.460414,-63.163709,"C",9.97,0.9,42.22,116.96,0.185166667,0.561166667,20.24,0.24,13769,498.0394696,508.426405,508.426405,248.1510306,248.1510306,0.9882845,24.465644,335.348954045128,315.486367291379,322.404343355146,250.6381406216,250.6658612291,265.836019141923,267.336975407454,286.816665870247,114.702239501299,17,"Anguilla (UK), St Martin, Dominica, Sint Maarten, Anguilla (UK), Dominica, Anguilla (UK), St Martin, Dominica, Sint Maarten, Anguilla (UK), Dominica","Anguilla ",11.723242023396,4.68829839514133,13.7069334469646,12.8950771658158,13.1778400501187,10.2444938960773,10.2456269382935,10.8656865579309,10.9270361085714
"Antigua & Barbuda","Antigua",18.71902871,-60.54490741,"C",120.43,0.78,536,522.73,0.220333333,1.688,0.19,0.13,94661,1182.308043,1264.72966,1264.72966,1011.26373,1011.26373,0.495849,55.198742,1175.05587321413,898.860693451208,888.076428340419,776.739737958066,1349.05380239506,1057.56540447166,951.309917427598,1013.80883675116,808.78190198933,15,"Antigua & Barbuda","Antigua and Barbuda ",18.3665206854019,14.6521799715894,21.2877292242299,16.2840793265036,16.0887077524415,14.0716927562962,24.4399374608041,19.1592301953487,17.2342680821892
"Australia","Australia",-16.5442317,151.8933976,"P",0.91,0.93,6.74,0.75,4.890833333,15.16133333,40.65,0.15,22031750,11962.27226,12171.86889,7227.28482,5746.672553,2620.734341,1.419766,32404.482292,7783.00959462522,7582.3607427763,6574.20747423494,6117.52425094257,5634.83313648962,5483.21315677316,5473.00523650733,6378.30765604988,2232.89075355649,1692,"Australia, Papua New Guinea, Australia, Australia, Papua New Guinea, Australia, Papua New Guinea, Australia, Australia, Papua New Guinea, Australia, Australia, Australia, Malaysia, Thailand, Papua New Guinea, Australia, Australia, Australia, NA, Australia, Malaysia, Thailand, Australia, Thailand, Malaysia, Australia, Australia, Korea (South), Australia, Korea (South), NA, Australia, Thailand, Malaysia","Australia ",0.196834116915503,0.0689068485475462,0.240183118017185,0.233991108836454,0.202879571257893,0.188786359733106,0.173890546551973,0.169211564849683,0.168896549162228
"Bahamas","",25.20652605,-75.56186808,"C",17.01,0.79,34.7,136.86,1.8075,7.753833333,0.57,0.21,360832,2476.688733,2432.50273,2286.167875,1015.177718,888.4690476,0.9882097,2236.357857,2607.88788569997,2283.90909216833,2282.38919208159,2452.37239772932,2208.10745504376,2455.41136343773,2569.78887725632,2408.55232334529,993.828171369911,62,"Bahamas, Cuba, NA, Turks & Caicos Isl. (UK), Cuba, Bahamas, Bahamas, Cuba, Bahamas, USA, Cuba, Cuba, Bahamas, NA, Bahamas, Cuba, Cuba, Bahamas, Bahamas, Cuba, Cuba, Cuba, Bahamas, Bahamas, Bahamas, Cuba, Bahamas, Bahamas, USA, Bahamas, Cuba, Cuba, Cuba, Bahamas, NA, Bahamas, Cuba, Cuba, Turks & Caicos Isl. (UK), Cuba, Bahamas, Cuba, Bahamas, Cuba, Cuba, Bahamas, NA, Bahamas, Cuba, Turks & Caicos Isl. (UK), Cuba, Cuba, Bahamas, Bahamas, Cuba, Cuba, NA, Bahamas, Cuba, Bahamas, Turks & Caicos Isl. (UK), Cuba, Bahamas, Cuba, Bahamas, NA, Bahamas, USA, Bahamas, Cuba, Bahamas, Cuba, NA, Bahamas, USA, Bahamas, Bahamas, Cuba, Cuba, NA","Bahamas ",1.07699772458433,0.444395859213292,1.16613174297532,1.02126280238178,1.02058317050534,1.09659211742574,0.987367673797013,1.09795100804287,1.14909555696225
"Bahrain","",26.33315481,50.70362868,"I",284.61,0.81,1890.67,15685.04,0.7075,1.185166667,1.24,0.87,1240862,11005.39979,10882.23047,10882.23047,3195.607143,3195.607143,-0.9659101,216.73104,11791.6064601336,11113.2760220738,10735.4012529101,9883.64917952951,11292.5913042462,11807.7433273877,12251.0122157701,11267.8971088644,5719.29816858305,258,"Saudi Arabia, Bahrain, Korea (South), Spain, Saudi Arabia, Qatar, Bahrain, Korea (South), Spain, Saudi Arabia, Bahrain, Korea (South), Spain, Qatar, Bahrain, Saudi Arabia, Bahrain, Korea (South), Spain, Qatar, Bahrain, Saudi Arabia, Qatar, Bahrain, Korea (South), Spain, Qatar, Bahrain","Bahrain ",51.9902322660586,26.3889204268251,54.4066344171725,51.2768084445762,49.5332890614566,45.6032932778319,52.1041716232536,54.4810901446682,56.526338893451
"Bangladesh","",20.95976297,90.74664456,"I",100455.19,0.55,462.5,2.33,0.195833333,4.2375,5.36,0.16,152149102,6788.204001,6907.750549,330.3294571,375.9084194,0,-0.2680953,4.553952,58.7724770136684,59.4411550531063,56.2111869286204,56.6423201406212,57.035006697441,52.7870290356984,52.8029507124673,56.2417322259461,22.2912672970925,2,"Thailand, Myanmar, Bangladesh","Bangladesh ",12.350093331231,4.8949280311019,12.9058182900629,13.0526529601336,12.3433859049503,12.4380582273641,12.5242880683505,11.5914768174321,11.5949730503236
"Barbados","",13.30195985,-57.99490786,"C",10.02,0.78,2386.77,1237.21,0.156333333,0.653833333,0.01,0.04,279569,488.6607749,471.6017324,466.0252995,56.43835732,50.86192436,1.136577,31.411343,526.444091132193,518.378990860316,496.873131708943,384.589918292583,349.680798498984,476.565116541105,478.242930178157,461.539282458897,55.3503494960601,4,"Barbados","Barbados ",14.6933953909229,1.76211343450231,16.7596810850206,16.5029235095206,15.8182708618649,12.2436636438176,11.1323097041404,15.171752336126,15.22516659597
"Belize","Belize",17.22371044,-87.55465316,"C",10.21,0.7,115.58,10.61,0.824166667,2.0205,10.08,0.3,321608,1461.945357,1466.190757,1466.190757,95.07599232,95.07599232,0.6853012,897.964851,1436.43869263379,1441.47623402993,1491.28009374258,1461.13713887459,1464.88493498024,1467.0469528962,1468.22107490142,1461.49787457982,202.662677838591,65,"Belize, NA, Mexico, Belize, Belize, Belize, Guatemala, NA, Belize, Belize, Belize, Guatemala, Cayman Isl. (UK), Belize, Honduras, Guatemala, Belize, Belize, Guatemala, Cayman Isl. (UK), Belize, Honduras, Guatemala, Belize, Honduras, Belize, Belize, Guatemala, Cayman Isl. (UK), Belize, Honduras, Guatemala, Belize, Honduras, NA, Mexico, Belize, Belize, Mexico, Belize, Belize, Belize, Guatemala, Belize, Cayman Isl. (UK), Belize, Honduras, Guatemala, Belize, Belize, Guatemala, Cayman Isl. (UK), Belize, Honduras, Guatemala, NA, Mexico, Belize, Belize, Belize, Guatemala, Cayman Isl. (UK), Belize, Honduras, Guatemala, Belize, Honduras","Belize ",1.62756690637975,0.225691103179484,1.59966026624998,1.60527022012572,1.66073325930502,1.62716518051617,1.63133883620155,1.63374652277586,1.63505405948391
"Bermuda (UK)","",32.3335825,-64.76795219,"C",2.37,0.9,300.73,4640,0.496166667,0.749166667,0.03,0.05,65124,153.766381,178.5749221,178.5749221,100.9507792,100.9507792,0.9882845,530.439961,230.457873924675,204.886143227171,219.114908477201,321.935425583045,456.760928810601,542.91538133506,500.591189927273,353.808835897861,198.634746325368,13,"Bermuda (UK)","Bermuda ",0.667010146126341,0.374471685637892,0.434465520829558,0.386256990972011,0.413081450470134,0.606921516576774,0.861098262562086,1.02351900545264,0.943728276021181
"Brazil (mainland)","Brazil",-32.988421,-39.691991,"C",328.6,0.72,1261.57,0.62,0.572333333,5.2275,1.68,0.12,196796269,46241.20994,45363.92123,41485.62204,32534.74964,28865.03221,0.5713488,747.618389,5677.98997152838,5524.289213864,5875.82310374945,5460.27676385296,6044.72476369226,5079.2977223492,5867.43068853842,5647.11888965353,3984.58928740442,13,"Brazil, Brazil, NA","Brazil ",7.5534777805653,5.32971011151041,7.59477034683852,7.3891831650278,7.85938814534623,7.30356134117637,8.08530776212924,6.79397109151258,7.84816261192637
"British Virgin Isl. (UK)","British Virgin Islands",20.37255018,-64.51569012,"C",3.13,0.9,161.92,2200,0.278,1.498666667,0.06,0.32,27224,2193.806578,2148.012833,2148.012833,760.2078764,760.2078764,1.289994,138.026263,1486.83598402448,1524.60428026689,1552.35610034619,1745.08400030809,1759.54374378923,1779.36669240903,1794.78552042801,1663.22518879599,599.902885684587,35,"British Virgin Isl. (UK), US Virgin Isl., British Virgin Isl. (UK), US Virgin Isl., British Virgin Isl. (UK), British Virgin Isl. (UK), US Virgin Isl., British Virgin Isl. (UK), British Virgin Isl. (UK)","Virgin Islands, British ",12.0500631738178,4.34629520966301,10.7721237372375,11.0457549681461,11.2468168492412,12.6431300998716,12.7478909125376,12.8915081357308,13.0032175139597
"Brunei Darussalam","",6.18,113.27,"I",17.44,0.85,102,40.61,1.045666667,2.105333333,0.2,0.17,388662,138.9769983,134.044994,133.4393736,0.60562041,0,-0.6505712,63.152438,4182.31477840482,4004.12994249832,4265.16485786605,4161.44262335121,4571.69058878476,4760.21356239937,4364.3994691117,4329.90797463089,1396.3589808247,4,"Malaysia, Thailand, Brunei Darussalam, Malaysia, Brunei Darussalam, Thailand, Malaysia, Brunei Darussalam, Malaysia, Thailand, Brunei Darussalam","Brunei Darussalam ",68.5627999766358,22.1109275436793,66.2257057820131,63.4042021069451,67.5376120533312,65.8952014386398,72.3913554815534,75.3765604805212,69.1089624934464
"Cambodia","",10.22845126,102.5594223,"P",564.53,0.53,281.86,14.21,1.582166667,3.906,0.19,0.18,14308740,121738.9979,121458.6081,324.9753751,4037.591827,0,-0.9272553,47.762963,3222.97110014682,3097.74335015783,3230.53038523195,3970.69512227376,4317.48104633518,4176.05002645441,4063.58270860532,3725.57910560075,2098.82661653932,13,"Cambodia, Thailand, Viet Nam, Cambodia, Thailand, Cambodia, Thailand, Cambodia, Thailand, Viet Nam","Cambodia ",78.0014235214167,43.9425547476885,67.4784581548432,64.8565992473673,67.6367248244618,83.1333500451754,90.3939114149008,87.4328091088991,85.0781118542692
"Cayman Isl. (UK)","Cayman Islands",19.15113701,-81.13408109,"C",2.62,0.9,251.74,1200,0.291166667,4.086833333,0.08,0.33,55507,13.49503566,10.32185106,3.65,5.777033624,0,0.5776708,280.962949,3.6499998,3.6499998,3.6499998,16.0896292,12.8180198,14.7058738,14.4777972,9.86304562857143,5.37976257142857,15,"Cayman Isl. (UK), Cuba","Cayman Islands ",0.0351044351708147,0.0191475872195112,0.0129910360529423,0.0129910360529423,0.0129910360529423,0.0572660176627061,0.0456217442393089,0.0523409718339766,0.0515292043008845
"Chagos Archipelago (UK)","British Indian Ocean Territory",-6.341239,71.87003,"I",10.28,0.9,0,116.96,35.43566667,66.376,20.24,NA,2000,21.69,24.47871429,24.47871429,0,0,1.289994,194.537536,363.401324080849,426.063877283232,422.866500043748,388.067255053417,356.552050360923,375.925158953454,367.424868183475,385.757290565585,226.356435585943,10,"NA, Mauritius, Brit. Indian Ocean Terr. (UK), NA","British Indian Ocean Territory ",1.9829452891065,1.16356174875137,1.8680267651835,2.19013711206475,2.17370132643064,1.9948194216535,1.83281878496149,1.93240423767603,1.88870937577556
"China","",22.612024,116.787143,"P",229.08,0.7,479.79,5.93,8.9975,16.05866667,3.77,0.06,1337705000,1015.48017,126367.4108,45291.09077,128702.0287,31728.54468,-1.680548,1345.670643,117691.136438092,110162.657303147,113403.040306263,112347.873619968,114060.420202392,111622.953621206,117073.201220427,113765.897530214,111492.37983554,48,"China, Hong Kong, Hong Kong, China, Taiwan, Hong Kong, China, Hong Kong, NA, Philippines, NA, China, Hong Kong","China ",84.5421560780931,82.8526507697171,87.4590948760796,81.8645021916757,84.2725082070943,83.4883886368386,84.7610229113039,82.9496832689739,86.9998924546855
"Christmas Isl. (Australia)","",-11.24353973,105.3652265,"I",NA,0.93,11.4,0.75,0.476666667,0.723333333,40.65,0.54,2167,10.592064,9.813871544,9.813871544,0,0,1.419766,5.066106,8.13830420685162,8.1996479367117,8.26099195680343,10.5920641779465,10.8803800121169,11.1686981484394,11.4570137977684,9.81387146237686,0,10,"Christmas Isl. (Australia)","Christmas Island ",1.93716267728643,0,1.60642201463049,1.61853066965273,1.63063938196386,2.09077034273395,2.14768108131114,2.20459227431077,2.26150297640208
"Cocos (Keeling) Isl. (Australia)","",-12.03198595,96.85333805,"I",NA,0.93,1,0.75,0.503333333,1.22,40.65,NA,544,99.12709414,98.69266126,98.69266126,0,0,1.419766,115.860349,0,0,0,0,0,0,0,0,0,6,"NA","Cocos (Keeling) Islands ",0,0,0,0,0,0,0,0,0
"Colombia (Caribbean)","Colombia",12.69215393,-76.6072326,"C",5.01,0.7,330.05,1.27,1.133833333,3.712833333,2.06,0.14,45918097,3983.170887,3037.894678,1515.08972,1139.808426,824.0814921,-0.1323792,944.521965,3375.68474966337,3709.65668532789,680.46912453126,896.075242828555,567.228466843362,2100.50635812051,805.957909882544,1733.6540767425,413.276085490069,61,"Colombia, NA, Colombia, Trinidad & Tobago, Venezuela, Colombia, Colombia, Nicaragua, Colombia, Nicaragua, Colombia, Colombia, Colombia, Nicaragua","Colombia ",1.83548307078544,0.437550529055266,3.5739610879916,3.92754940889902,0.720437586151064,0.948707680745735,0.600545554113569,2.22388301803073,0.853297159566367
"Comoros Isl.","Comoro Islands",-11.39329721,43.48880351,"I",46.35,0.48,625.2,8.22,0.201833333,2.890166667,0.02,0.27,689692,12.94478688,16.73155813,16.72139634,9.010161784,9,-0.4222873,221.926985,0.011888677,0.0061757852,0.0004200595,25.864969286,44.1658556,31.3396414,19.5425876,17.2759340582429,6.49198448681429,147,"Comoros, Unknown Fishing Country, NA, Comoros, Unknown Fishing Country, Comoros, Unknown Fishing Country, Mayotte (France), Spain, Comoros, Unknown Fishing Country, Mayotte (France), Spain, Comoros, Unknown Fishing Country, Comoros, Unknown Fishing Country, Mayotte (France), Spain, Comoros, Unknown Fishing Country, NA","Comoros ",0.0778451257662193,0.0292527945027248,5.35702181508031e-05,2.78280047827442e-05,1.89278243923334e-06,0.116547202612607,0.199010749413822,0.141216001289794,0.0880586360419397
"Cook Islands","",-15.03807126,-161.3064453,"P",0.22,0.93,19.83,0.75,5.055166667,27.55083333,40.65,0.02,18545,287.0344953,279.5341487,279.5341487,279.5341487,279.5341487,-0.3573337,254.693498,333.38813575184,324.63836731602,324.638368551115,370.884117725804,416.851152752941,317.917092074657,215.471528993295,329.112680452239,329.112680452239,20,"NA, Cook Islands, Cook Islands, NA","Cook Islands ",1.29219113576366,1.29219113576366,1.30897780418344,1.27462369422568,1.27462369907502,1.45619782459387,1.63667763812699,1.24823403255727,0.846003257583338
"Costa Rica","",6.67163601,-86.61098744,"C",23.67,0.75,184.67,41.13,2.376333333,4.44,0.83,0.16,4545280,1164.984364,501.7517085,594.8420966,238.1428571,238.1428571,1.03989,70.352654,1363.3148697,1454.26539572,1168.03168256,1149.163216256,1289.96219708,1219.87316522,1013.31221861,1236.84610644943,583.517806145143,18,"Costa Rica, Nicaragua, Costa Rica, Costa Rica, Costa Rica, NA, Costa Rica, Costa Rica, Panama, Costa Rica, Panama","Costa Rica ",17.5806602327956,8.29418327480784,19.3783004931129,20.6710808055656,16.6025247968613,16.3343264385733,18.3356579139147,17.3394050666518,14.4033261148897
"Cuba","Cuba",21.65613401,-81.2575355,"C",105.22,0.78,214.3,23.55,0.7475,2.6705,4.32,0.02,11333051,6847.080664,6805.904376,6787.697298,3386.47678,3368.269703,-1.616888,5745.258873,4715.74652684401,4390.05960240471,4413.58731518294,4306.69848351973,4638.13826605363,4021.65920628277,4064.88774036582,4364.39673437909,2272.21419959013,90,"Cuba","Cuba ",0.759651885294445,0.395493788847089,0.820806621787887,0.76411867584173,0.768213828610006,0.749609126189105,0.807298394829638,0.699996169917193,0.707520379885555
"Djibouti","",12.00726607,43.43502813,"I",0.84,0.45,2504.76,2.2,0.1785,0.908333333,0.54,0.19,851146,1161.790852,1227.518835,821.8934574,654.9649955,654.9649955,-1.265671,259.196117,769.19116893414,770.184333059107,1081.67500428319,927.718434063893,1172.5370052904,878.683521660521,1215.4381325207,973.632514258849,521.078772323009,25,"Thailand, Somalia, Yemen, Korea (South), Djibouti, Greece, Kenya, Egypt, Spain, Yemen, Djibouti, Somalia, Thailand, Somalia, Yemen, Korea (South), Djibouti, Greece, Kenya, Egypt, Spain, Djibouti, Korea (South), Kenya, Somalia, Greece, Thailand, Yemen, Egypt, Spain, Yemen, Djibouti, Somalia, Thailand, Somalia, Yemen, Korea (South), Djibouti, Greece, Kenya, Egypt, Spain, NA, Yemen, Djibouti, Somalia, Thailand, Somalia, Yemen, Korea (South), Djibouti, Greece, Kenya, Egypt, Spain, Djibouti, Somalia, Yemen, Djibouti, Korea (South), Kenya, Somalia, Greece, Thailand, Yemen, Egypt, Spain, Eritrea, Yemen, Egypt, Djibouti, Somalia, Djibouti, Somalia, Yemen","Djibouti ",3.75635455317739,2.0103648864578,2.96760297892171,2.97143468804013,4.17319139191883,3.57921424441668,4.52374448684507,3.39003350756416,4.68926057453514
"Dominica","",15.49774357,-60.71986925,"C",117.64,0.72,611.93,102.67,0.112166667,0.861166667,0.01,0.03,71440,182.9443781,184.5463111,184.5463111,46.22471392,46.22471392,0.9825406,16.45348,182.605398833463,181.003356021661,194.275615222772,190.56321110591,189.883560580367,185.813856631001,187.239445960612,187.340634907969,38.8207841780649,7,"Dominica, Guadeloupe  (France), Dominica, Guadeloupe  (France), Dominica","Dominica ",11.3860797173588,2.35942695272154,11.0982843041996,11.0009162816414,11.8075699014902,11.5819395718055,11.5406321690224,11.2932860787506,11.3799297146022
