"siteyear","siteusite","UniqueSite","dataset","Site","Year","Site_Lat","Site_Long","Locality","Region","Management","FamBiomass_tkm2","Closure.age","Closure.size","Atoll","ReefHabitat","Depth","HardCoral","SampMethod","SampArea","TT_market_h","TT_pop_h","reserves","remote_10h","remote_20h","area_name","section","TPBiomass_tkm2","DepthCategory","coords","Prod_mgCm2d_finer","meanSize_cm","total_sp","Grav_tot","remote_20h_inhabited","scraping_potential","Larger","Contact_ID","siteyearusite","SST_dC","SSTanom_dC","mean_tonnes_km2_polygon1","mean_tonnes_km2_polygon2","mean_tonnes_km2_polygon3","mean_tonnes_km2_polygon4","mean_tonnes_km2_polygon5","mean_tonnes_km2_polygon6","mean_tonnes_reported_km2cell","mean_tonnes_km2cell","MGMT_type"
"S.E. Cayo. Diego Pérez 2 (cresta) 656::2001","S.E. Cayo. Diego Pérez 2 (cresta) 656::2046","2046","S","S.E. Cayo. Diego Pérez 2 (cresta) 656",2001,22.0216167,-81.5158667,"Cuba","C","Restricted",190.0485421037,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,4.025,1.46666666666667,0,0,0,"Cuba","status",0.0146621093679245,"0-4m","22.0216167_-81.5158667",302.455833333333,20.0188679245283,64.3832914858252,63.5,NA,NA,"Cuba","Provider 19","S.E. Cayo. Diego Pérez 2 (cresta) 656::2001::2046",28.0622224807739,0.0818471908569336,26.7873925471344,160.12628279751,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,23.9529251062426,26.7873925471344,NA
"S.E. Cayo. Diego Pérez 1 (profundo) 659::2001","S.E. Cayo. Diego Pérez 1 (profundo) 659::2045","2045","S","S.E. Cayo. Diego Pérez 1 (profundo) 659",2001,22.0208833,-81.51035,"Cuba","C","Restricted",76.8514199028,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,4.025,1.46666666666667,0,0,0,"Cuba","status",0,"4-10m","22.0208833_-81.51035",302.455833333333,21.3064516129032,34.0662032700389,63.5,NA,NA,"Cuba","Provider 19","S.E. Cayo. Diego Pérez 1 (profundo) 659::2001::2045",28.0622224807739,0.0818471908569336,NA,160.12628279751,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,144.278869334618,160.12628279751,NA
"Lagon Ouest Koné 1671::2004","Lagon Ouest Koné 1671::3818","3818","S","Lagon Ouest Koné 1671",2004,-21.06766667,164.6707767,"New Caledonia","P","Fished",46.1472678668,NA,NA,0,"Flat",1,NA,"Distance sampling",250,4.99444444444445,0.255555555555555,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.06766667_164.6707767",322.052083333333,13.5873015873016,168.066443337468,8,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1671::2004::3818",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Cayo Bretón Norte Oeste (cresta) 679::2001","Cayo Bretón Norte Oeste (cresta) 679::1603","1603","S","Cayo Bretón Norte Oeste (cresta) 679",2001,21.0677833,-79.4302167,"Cuba","C","Fished",166.3225101783,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,4.775,2.54166666666667,0,0,0,"Cuba","status",0.0819833068235294,"0-4m","21.0677833_-79.4302167",303.239416666667,22.0764705882353,48.3138183537267,33.5,NA,NA,"Cuba","Provider 19","Cayo Bretón Norte Oeste (cresta) 679::2001::1603",28.095117410024,0.124471664428711,NA,4.26378235239665,4.26378235239665,86.0688305185165,117.735076272577,117.735076272577,3.75290205218421,4.26378235239665,NA
"Lagon Ouest Koné 1645::2004","Lagon Ouest Koné 1645::3820","3820","S","Lagon Ouest Koné 1645",2004,-20.99267769,164.5907593,"New Caledonia","P","Fished",17.6310449645,NA,NA,0,"Slope",2,NA,"Distance sampling",250,5.37777777777778,0.377777777777778,0,0,0,"New Caledonia (France)","status",0,"0-4m","-20.99267769_164.5907593",316.000416666667,13.2950819672131,31.0849474330299,5.66666666666667,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1645::2004::3820",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"S.E. Cayo. Diego Pérez 4 (profundo) 653::2001","S.E. Cayo. Diego Pérez 4 (profundo) 653::2048","2048","S","S.E. Cayo. Diego Pérez 4 (profundo) 653",2001,22.0360167,-81.5066167,"Cuba","C","Restricted",96.37617815065,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,4.025,1.46666666666667,0,0,0,"Cuba","status",0.260683802598425,"4-10m","22.0360167_-81.5066167",307.50175,20.3858267716535,32.8974712836852,63.5,NA,NA,"Cuba","Provider 19","S.E. Cayo. Diego Pérez 4 (profundo) 653::2001::2048",28.0622224807739,0.0818471908569336,NA,160.12628279751,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,144.278869334618,160.12628279751,NA
"Lagon Ouest Koné 1687::2004","Lagon Ouest Koné 1687::3853","3853","S","Lagon Ouest Koné 1687",2004,-21.14307333,164.7166867,"New Caledonia","P","Fished",250.984780785,NA,NA,0,"Slope",2,NA,"Distance sampling",250,4.87916666666667,0.379166666666667,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.14307333_164.7166867",320.8635,17.6105263157895,53.7076681892002,5.75,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1687::2004::3853",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Cayo Matías 2 (profundo) 702::2001","Cayo Matías 2 (profundo) 702::1666","1666","S","Cayo Matías 2 (profundo) 702",2001,21.5388333,-82.4217,"Cuba","C","Fished",88.981729359,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,1.9,0.908333333333333,0,0,0,"Cuba","status",0.0843929421521739,"4-10m","21.5388333_-82.4217",264.026083333333,23.2065217391304,37.0694069869244,27,NA,NA,"Cuba","Provider 19","Cayo Matías 2 (profundo) 702::2001::1666",27.9838557243347,0.0522898038228353,NA,NA,4.26378235239665,160.12628279751,117.735076272577,3.60240031340694,3.75290205218421,4.26378235239665,NA
"Lagon Ouest Koné 1644::2004","Lagon Ouest Koné 1644::3831","3831","S","Lagon Ouest Koné 1644",2004,-20.99233723,164.5889339,"New Caledonia","P","Fished",11.757231265,NA,NA,0,"Flat",1.3,NA,"Distance sampling",250,5.46666666666667,0.3375,0,0,0,"New Caledonia (France)","status",0,"0-4m","-20.99233723_164.5889339",316.000416666667,13.1607142857143,30.5789144826721,5.5,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1644::2004::3831",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Yemayá 650::1999","Yemayá 650::2172","2172","S","Yemayá 650",1999,21.8343167,-84.4898333,"Cuba","C","Restricted",36.7467646616,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,2.03333333333333,0.0666666666666667,0,0,0,"Cuba","status",0,"4-10m","21.8343167_-84.4898333",282.022666666667,17.5689655172414,28.8700559042654,75,NA,NA,"Cuba","Provider 19","Yemayá 650::1999::2172",27.8001413345337,-0.000784079233805339,NA,14.785945825042,14.785945825042,14.785945825042,17.2461138515124,17.2461138515124,7.35529628722689,14.785945825042,NA
