area_name,Larger,EEZ_lat,EEZ_long,Region,CoralReefArea_km2,Rfishers_km2r,HDI,meanTgrav_nh2,Tourists_km2l,meanTTpop_h,meanTTmarket_h,mpa_perc,popgrow_prop,pop_n,median_totalcatch_t,mean_totalcatch_t,mean_tcatch_notindus_t,mean_tcatch_onlyreported_t,mean_tcatch_notindus_onlyrep_t,mean_spatial_totalcatch_reefs_t,reef_area_spatial_km2
American Samoa,American Samoa,-13.85166919,-169.057621,P,45.426853,1.31,0.91,13.93,115.5,1.211166667,6.666666667,8.71,-0.03,55637,61.16834757,61.98933405,61.98933405,24.11815735,24.11815735,63.13093513,45.426853
Anguilla (UK),,18.460414,-63.163709,C,24.465644,9.97,0.9,42.22,116.96,0.185166667,0.561166667,20.24,0.24,13769,498.0394696,508.426405,508.426405,248.1510306,248.1510306,NA,24.465644
Antigua & Barbuda,,18.71902871,-60.54490741,C,55.198742,120.43,0.78,536,522.73,0.220333333,1.688,0.19,0.13,94661,1182.308043,1264.72966,1264.72966,1011.26373,1011.26373,1013.808817,55.198742
Australia,Australia,-16.5442317,151.8933976,P,32404.48229,0.91,0.93,6.74,0.75,4.890833333,15.16133333,40.65,0.15,22031750,11962.27226,12171.86889,7227.28482,5746.672553,2620.734341,6748.297472,32404.48229
Bahamas,,25.20652605,-75.56186808,C,2236.357857,17.01,0.79,34.7,136.86,1.8075,7.753833333,0.57,0.21,360832,2476.688733,2432.50273,2286.167875,1015.177718,888.4690476,2408.884993,2236.357857
Bahrain,,26.33315481,50.70362868,I,216.73104,284.61,0.81,1890.67,15685.04,0.7075,1.185166667,1.24,0.87,1240862,11005.39979,10882.23047,10882.23047,3195.607143,3195.607143,7457.481303,216.73104
Bangladesh,,20.95976297,90.74664456,I,4.553952,100455.19,0.55,462.5,2.33,0.195833333,4.2375,5.36,0.16,152149102,6788.204001,6907.750549,330.3294571,375.9084194,0,56.24173197,4.553952
Barbados,,13.30195985,-57.99490786,C,31.411343,10.02,0.78,2386.77,1237.21,0.156333333,0.653833333,0.01,0.04,279569,488.6607749,471.6017324,466.0252995,56.43835732,50.86192436,461.5392824,31.411343
Belize,Belize,17.22371044,-87.55465316,C,897.964851,10.21,0.7,115.58,10.61,0.824166667,2.0205,10.08,0.3,321608,1461.945357,1466.190757,1466.190757,95.07599232,95.07599232,1577.832776,897.964851
Bermuda (UK),,32.3335825,-64.76795219,C,530.439961,2.37,0.9,300.73,4640,0.496166667,0.749166667,0.03,0.05,65124,153.766381,178.5749221,178.5749221,100.9507792,100.9507792,353.8088369,530.439961
Brazil (mainland),Brazil,-32.988421,-39.691991,C,747.618389,328.6,0.72,1261.57,0.62,0.572333333,5.2275,1.68,0.12,196796269,46241.20994,45363.92123,41485.62204,32534.74964,28865.03221,5647.118884,747.618389
British Virgin Isl. (UK),British Virgin Islands,20.37255018,-64.51569012,C,138.026263,3.13,0.9,161.92,2200,0.278,1.498666667,0.06,0.32,27224,2193.806578,2148.012833,2148.012833,760.2078764,760.2078764,1424.741556,138.026263
Brunei Darussalam,,6.18,113.27,I,63.152438,17.44,0.85,102,40.61,1.045666667,2.105333333,0.2,0.17,388662,138.9769983,134.044994,133.4393736,0.60562041,0,1433.165764,63.152438
Cambodia,,10.22845126,102.5594223,P,47.762963,564.53,0.53,281.86,14.21,1.582166667,3.906,0.19,0.18,14308740,121738.9979,121458.6081,324.9753751,4037.591827,0,3337.683776,47.762963
Cayman Isl. (UK),Cayman Islands,19.15113701,-81.13408109,C,280.962949,2.62,0.9,251.74,1200,0.291166667,4.086833333,0.08,0.33,55507,13.49503566,10.32185106,3.65,5.777033624,0,9.863045928,280.962949
Chagos Archipelago (UK),British Indian Ocean Territory,-6.341239,71.87003,I,194.537536,10.28,0.9,0,116.96,35.43566667,66.376,20.24,NA,2000,21.69,24.47871429,24.47871429,0,0,NA,194.537536
China,,22.612024,116.787143,P,1345.670643,229.08,0.7,479.79,5.93,8.9975,16.05866667,3.77,0.06,1337705000,1015.48017,126367.4108,45291.09077,128702.0287,31728.54468,113807.7109,1345.670643
Christmas Isl. (Australia),,-11.24353973,105.3652265,I,5.066106,NA,0.93,11.4,0.75,0.476666667,0.723333333,40.65,0.54,2167,10.592064,9.813871544,9.813871544,0,0,9.813871543,5.066106
Cocos (Keeling) Isl. (Australia),,-12.03198595,96.85333805,I,115.860349,NA,0.93,1,0.75,0.503333333,1.22,40.65,NA,544,99.12709414,98.69266126,98.69266126,0,0,NA,115.860349
Colombia (Caribbean),Colombia,12.69215393,-76.6072326,C,944.521965,5.01,0.7,330.05,1.27,1.133833333,3.712833333,2.06,0.14,45918097,3983.170887,3037.894678,1515.08972,1139.808426,824.0814921,1791.220648,944.521965
Comoros Isl.,Comoro Islands,-11.39329721,43.48880351,I,221.926985,46.35,0.48,625.2,8.22,0.201833333,2.890166667,0.02,0.27,689692,12.94478688,16.73155813,16.72139634,9.010161784,9,17.27593446,221.926985
Cook Islands,,-15.03807126,-161.3064453,P,254.693498,0.22,0.93,19.83,0.75,5.055166667,27.55083333,40.65,0.02,18545,287.0344953,279.5341487,279.5341487,279.5341487,279.5341487,329.1126773,254.693498
Costa Rica,,6.67163601,-86.61098744,C,70.352654,23.67,0.75,184.67,41.13,2.376333333,4.44,0.83,0.16,4545280,1164.984364,501.7517085,594.8420966,238.1428571,238.1428571,1336.52171,70.352654
Cuba,Cuba,21.65613401,-81.2575355,C,5745.258873,105.22,0.78,214.3,23.55,0.7475,2.6705,4.32,0.02,11333051,6847.080664,6805.904376,6787.697298,3386.47678,3368.269703,4373.467607,5745.258873
Djibouti,,12.00726607,43.43502813,I,259.196117,0.84,0.45,2504.76,2.2,0.1785,0.908333333,0.54,0.19,851146,1161.790852,1227.518835,821.8934574,654.9649955,654.9649955,1124.02744,259.196117
Dominica,,15.49774357,-60.71986925,C,16.45348,117.64,0.72,611.93,102.67,0.112166667,0.861166667,0.01,0.03,71440,182.9443781,184.5463111,184.5463111,46.22471392,46.22471392,203.1775302,16.45348
Dominican Republic,Dominican Republic,18.13257402,-69.94418188,C,352.46696,654.31,0.7,1028.17,85.39,0.192166667,1.241166667,9.08,0.16,9897985,20464.91683,21487.60816,19703.70314,4524.900216,2740.995203,13396.82283,352.46696
Easter Isl. (Chile),,-26.813989,-107.488859,P,33,NA,0.82,NA,3.767154608,NA,NA,12.59520309,0.102669512,16993354,0.79052,2.390285714,2.390285714,2.197571429,2.197571429,NA,NA
Ecuador,,-0.9809767,-82.22356197,P,201.667343,101.32,0.71,0.51,4.22,1.523333333,5.8755,13.05,0.18,14934690,152.2021945,1300.136398,975.9594742,356.2883405,356.2883405,101.911952,201.667343
Egypt (Red Sea),Egypt,25.31573096,35.04,I,2387.001683,97.48,0.67,460.89,14.12,0.564333333,3.260833333,4.95,0.2,84107606,3509.696403,3314.53842,983.5341221,2213.148735,144.381371,2226.375899,2387.001683
Eritrea,,15.805397,40.605205,I,1641.091707,3.23,0.41,216.73,0.83,0.4725,4.2665,0,0.29,4390840,977.4530328,1028.443372,525.4831137,703.3207328,215.9240754,600.5289069,1641.091707
Fiji,Fiji,-17.271296,176.382438,P,3429.207928,1.43,0.71,26.69,34.59,1.163833333,13.53366667,0.92,0.06,859950,11360.43753,11573.47457,11573.47457,11314.89196,11314.89196,12155.04874,3429.207928
French Polynesia,French Polynesia,-18.70826018,-143.9905467,P,3016.244139,0.25,0.88,25.47,42.08,0.516666667,27.419,0,0.13,267820,4863.790869,4963.328838,4963.328838,2195.049313,2195.049313,4406.536567,3016.244139
Grenada,,12.21289702,-62.0155574,C,50.691204,52.6,0.74,117.47,323.53,0.170666667,1.604833333,0.04,0.03,104677,324.6846052,371.3946117,371.3884975,148.7152784,148.7091642,662.8107187,50.691204
Guadeloupe  (France),,16.45,-61.17,C,113.976391,21.46058476,0.882,NA,139.9799473,NA,NA,26.16684852,0.032042757,450718,416.431517,415.9150965,415.9150965,0,0,385.1625587,113.976391
Guam (USA),Guam,12.976952,143.581362,P,137.697181,21.64,0.91,44.96,2216.67,0.955833333,3.755,0.01,0.03,159444,43.74848778,44.62776387,44.62776387,44.62776387,44.62776387,47.14920328,137.697181
Guatemala (Caribbean),,15.98,-88.57,C,62,NA,0.61,172.5,12.92,0.925,1.470833333,0.81,0.26,14630417,364.7601349,381.4510971,234.8491363,84.80003885,0,NA,NA
Haiti,,17.82781246,-73.76256318,C,327.33829,286.83,0.47,1903.04,9.25,0.246166667,1.479666667,0,0.17,9999617,9967.210254,9833.725705,9814.309268,6219.855988,6203.043651,9523.516465,327.33829
Hawaii,Hawaii,23.944978,-165.638399,P,3355.350476,0,0.91,385.64,6.56,28.2475,39.16,41.08,0.1,309338421,2473.01426,1456.437131,1016.46468,76.7520582,101.8140453,2472.881078,3355.350476
Honduras (Caribbean),Honduras,16.99755389,-83.80201591,C,12119.81324,0.62,0.61,53.73,7.71,2.924333333,4.333166667,4.18,0.26,8194778,1140.637189,1156.220497,710.7565565,450.3597579,264.8325079,2469.520421,12119.81324
India,,16.29336813,84.10271898,I,2151.44976,765.11,0.58,43.28,1.94,0.3315,8.866333333,0.17,0.17,1230980691,135667.1791,76756.722,41399.75683,16944.1737,4976.050086,20309.49051,2151.44976
Indonesia,Indonesia,-3.17903697,117.8492901,P,26384.6627,35.16,0.66,225.17,3.87,0.585833333,12.383,2.88,0.15,242524123,161612.9283,243176.5628,34242.01853,123988.6102,30433.41678,271100.702,26384.6627
Iran,,26.52128877,54.98789504,I,118.97365,255.24,0.75,360.78,1.8,0.275333333,5.443833333,0.8,0.13,74567511,55007.65102,23398.14551,29225.77969,18716.24603,25600.79582,22110.63889,118.97365
Israel (Red Sea),Israel,22.65,36.94,I,1.25,614.68,0.88,NA,129.53,NA,NA,0.03,0.21,7623600,46.58484,47.23842381,47.23842381,11,11,2.900405585,1.25
Jamaica,Jamaica,16.70498732,-77.28930404,C,439.426651,138.21,0.72,353.9,177.47,1.357833333,2.1315,0.75,0.06,2817210,14144.0243,13467.46021,13467.46021,5527.590772,5527.590772,13489.06628,439.426651
Japan,,29.507561,138.4766658,P,1107.561826,5.46,0.88,601.58,23.62,1.119,8.968666667,0.49,0.01,128070000,12138,3467.999999,2583.714286,2741.571429,1926.571429,106287.7419,1107.561826
Jordan,,29.45316,34.94416,I,4.262026,1.95,0.74,332,47.39,0.566666667,2.7,35.22,0.41,7182390,71.4777,76.66461949,76.66461949,23.04878571,23.04878571,NA,4.262026
Kenya,Kenya,-3.54293252,41.75979042,I,985.966028,5.64,0.53,1327.63,2.58,0.272166667,3.466,0.8,0.31,41350152,4734.174976,4708.868645,4108.290523,2554.873283,2554.843286,6498.569421,985.966028
Kiribati,Kiribati,-0.27350525,172.8544785,P,1973.21972,4.38,0.59,1.57,5.8,1.4385,94.21866667,11.81,0.22,102652,181.4379783,103.2995295,75.41693634,36.41161755,57.95344318,2257.284742,1973.21972
Kuwait,,29.21082975,48.62988399,I,73,77.59,0.79,2065.4,11.62,0.47,1.525,1.48,0.46,2998083,522.0624472,549.5327477,549.5327477,448.5714286,448.5714286,659.8878298,73
Madagascar,Madagascar,-21.4633789,50.07964807,I,13833.10471,0.25,0.5,94.06,0.34,0.641833333,5.368833333,0.36,0.34,21151640,29584.0823,27767.74555,27087.78762,19691.19988,19682.50844,21866.59254,13833.10471
Malaysia,,5.05162412,112.7659959,I,2279.827986,10.91,0.77,192.7,74.8,2.314,8.95,1.41,0.21,28112289,370632.6268,105895.0362,12600.90687,29290.87648,9083.133067,145478.7453,2279.827986
Maldives,Maldives,2.44690754,73.09013615,I,2714.084461,0.05,0.66,27.8,2640,0.275666667,11.1905,0.05,0.3,364511,18029.26237,17496.33797,15472.46351,10676.1531,10676.07163,17602.10014,2714.084461
Marshall Isl.,Marshall Islands,10.11552459,167.4911369,P,2005.142413,0.24,0.74,8.18,25.56,1.053666667,21.6005,0.27,0.01,52425,2029.735674,2030.241254,2030.241254,1220.459429,1220.459429,2227.53992,2005.142413
Martinique (France),,14.975115,-60.200546,C,72.429821,96.7,0.88,484.16,139.98,0.155333333,0.9255,26.17,0.02,394910,723.5187116,713.7471402,713.7471402,265.7238161,265.7238161,751.8501479,72.429821
Mauritius,Mauritius,-16.77622338,60.09243508,I,1708.910986,3.72,0.75,1082.87,460.59,7.022333333,16.0855,0,0.05,1250400,4406.15442,4930.408256,1142.685165,3409.480333,471.3866053,3485.298607,1708.910986
Mayotte (France),Mayotte,-13.181374,45.359802,I,242.428994,0.02,0.88,184.53,139.98,0.848,1.883833333,26.17,0.36,208718,711.5129424,841.3420395,810.4065787,802.0673126,802.0520908,NA,242.428994
Mexico,Mexico,22.28735,-91.9483,C,938.699222,62.77,0.75,446.95,11.98,2.457333333,6.135,2.25,0.15,117318941,89461.3718,53270.86345,32385.88544,22751.8889,28060.03176,18467.75425,938.699222
Micronesia (Federated States of),Federated States of Micronesia,6.77407027,150.326906,P,3192.407083,0.07,0.64,3.93,63.86,3.293166667,31.78383333,0.02,-0.04,103616,7624.520646,7652.902236,7652.902236,5975.585531,5975.585531,4640.337254,3192.407083
Montserrat (UK),,16.43813354,-62.46436223,C,2.43699,NA,0.9,19.75,116.96,0.333333333,0.454166667,20.24,0,4944,13.51203823,12.10126215,12.10126215,9.869125773,9.869125773,14.99373435,2.43699
